"site_name","plot","Longitude","Latitude","date"
"CAAEU","0001",-120.100609460062,38.9985357665724,"2026-07-01T05:41:05.000000Z"
"WAOWF","0001",-121.0199636,47.29543506,"2026-04-16T14:01:47.000000Z"
"GAUGA","0001",-83.3591923936175,33.8952632318995,"2026-07-01T03:20:07.000000Z"
"WACNR","0001",-121.35043535664,45.9854018050581,"2026-04-16T14:02:31.000000Z"
"CATCU","0001",-120.221470335815,38.2570360372207,"2026-07-01T11:16:07.000000Z"
"ALKCR","0001",-87.8001151509991,34.7630308697851,"2026-07-01T03:18:06.000000Z"
"SCCRR","0001",-80.1857509075074,34.5659112012117,"2026-07-01T11:17:06.000000Z"
"CASBC","0001",-120.054144668253,34.6943841775791,"2026-07-01T11:15:06.000000Z"
"ORWMR","0001",-123.332563084537,44.3939564065944,"2026-07-01T11:17:06.000000Z"
"GACHF","0001",-83.6800239,33.0590495,"2026-07-01T11:13:05.000000Z"
"AZA3S","0001",-110.275538538317,31.4534890882951,"2026-07-01T05:21:05.000000Z"
"AKWSP","0001",-143.591935483106,61.3754260261859,"2026-07-01T03:25:06.000000Z"
"LABBR","0001",-90.005890449199,30.3303328649223,"2026-07-01T11:07:05.000000Z"
"CASWR","0001",-122.182592,39.416844,"2026-07-01T03:28:07.000000Z"
"CAYNP","0001",-119.781350833359,37.7197070837386,"2026-07-01T03:21:06.000000Z"
"CALNU","0001",-122.40980125589,38.5678021254958,"2026-07-01T11:17:06.000000Z"
"AZSAP","0001",-110.547110172764,32.0364450072597,"2026-07-10T05:25:05.000000Z"
"WASES","0001",-121.0065687,47.28915616,"2026-04-16T14:01:44.000000Z"
"FLLSR","0001",-83.13099999968,29.3646999999959,"2026-06-30T15:40:05.000000Z"
"ORBKR","0001",-123.254993632517,44.9659442857994,"2026-07-01T11:17:06.000000Z"
"UTDSP","0001",-109.05922,40.50425,"2026-04-16T14:02:27.000000Z"
"PA04S","0001",-79.43950906,39.82744155,"2026-07-01T11:32:07.000000Z"
